,precision,recall,f1-score,support
Kelas 0,0.0,0.0,0.0,8.0
Kelas 1,0.0,0.0,0.0,127.0
Kelas 2,0.0,0.0,0.0,30.0
Kelas 3,0.0,0.0,0.0,2.0
Kelas 4,0.0,0.0,0.0,0.0
Kelas 5,0.0,0.0,0.0,45.0
Kelas 6,0.0,0.0,0.0,12.0
Kelas 7,0.0,0.0,0.0,2.0
Kelas 8,0.0,0.0,0.0,2.0
Kelas 9,0.4772277227722772,1.0,0.646112600536193,482.0
Kelas 10,0.0,0.0,0.0,136.0
Kelas 11,0.0,0.0,0.0,0.0
Kelas 12,0.0,0.0,0.0,1.0
Kelas 13,0.0,0.0,0.0,130.0
Kelas 14,0.0,0.0,0.0,33.0
accuracy,0.4772277227722772,0.4772277227722772,0.4772277227722772,0.4772277227722772
macro avg,0.03181518151815181,0.06666666666666667,0.04307417336907953,1010.0
weighted avg,0.22774629938241348,0.4772277227722772,0.30834284500836145,1010.0
