Waktu,Teks,Hasil
2026-01-06 06:37,"padahal asli tarikan mesinnya jadi signifikan banget drpd pertamina ku kira motorku yg rada2 ternyata krn bahan bakar kalo pertamax mentok stabil gak ngoyo di 60 km sedangkan pake shell mulus banget 80 km asli enteng
",Detail aspek tidak ditemukan (cek file keterangan_tiap_kelas.xlsx - Sheet1.csv)
2026-01-06 06:38,"padahal asli tarikan mesinnya jadi signifikan banget drpd pertamina ku kira motorku yg rada2 ternyata krn bahan bakar kalo pertamax mentok stabil gak ngoyo di 60 km sedangkan pake shell mulus banget 80 km asli enteng
",Detail aspek tidak ditemukan (cek file keterangan_tiap_kelas.xlsx - Sheet1.csv)
2026-01-06 06:42,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Detail aspek tidak ditemukan (cek file keterangan_tiap_kelas.xlsx)
2026-01-06 06:50,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Detail aspek tidak ditemukan (cek file 07_stemming.xlsx)
2026-01-06 06:51,"['asli', 'tari', 'mes', 'signifikan', 'banget', 'drpd', 'pertamina', 'ku', 'motor', 'rada', 'bahan', 'bakar', 'kalo', 'pertamax', 'tidak bisa maju lagi', 'stabil', 'paksa', 'km', 'pakai', 'shel', 'mulus', 'banget', 'km', 'asli', 'ringan']",Detail aspek tidak ditemukan (cek file 07_stemming.xlsx)
2026-01-06 06:52,"['asli', 'tari', 'mes', 'signifikan', 'banget', 'drpd', 'pertamina', 'ku', 'motor', 'rada', 'bahan', 'bakar', 'kalo', 'pertamax', 'tidak bisa maju lagi', 'stabil', 'paksa', 'km', 'pakai', 'shel', 'mulus', 'banget', 'km', 'asli', 'ringan']",Detail aspek tidak ditemukan (07_stemming.xlsx)
2026-01-06 06:57,"padahal baru ada kejadian hr v mogok gara gara isi pertamax campur air wkwk
",Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 06:58,"['asli', 'tari', 'mes', 'signifikan', 'banget', 'drpd', 'pertamina', 'ku', 'motor', 'rada', 'bahan', 'bakar', 'kalo', 'pertamax', 'tidak', 'bisa', 'maju', 'lagi', 'stabil', 'paksa', 'km', 'pakai', 'shel', 'mulus', 'banget', 'km', 'asli', 'ringan']",Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 06:59,"['asli', 'tari', 'mes', 'signifikan', 'banget', 'drpd', 'pertamina', 'ku', 'motor', 'rada', 'bahan', 'bakar', 'kalo', 'pertamax', 'tidak', 'bisa', 'maju', 'lagi', 'stabil', 'paksa', 'km', 'pakai', 'shel', 'mulus', 'banget', 'km', 'asli', 'ringan']",Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:00,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:01,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:10,kesel banget gua ngisi shell tinggal nitro terpaksa pertamax monyet,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:11,"['bohong', 'suruh', 'percaya', 'taik', 'balikin', 'selisih', 'uang', 'malu', 'pertamax']",Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:40,kesel banget gua ngisi shell tinggal nitro terpaksa pertamax monyet,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:48,kesel banget gua ngisi shell tinggal nitro terpaksa pertamax monyet,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:49,0111,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:49,1011,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 07:49,1010,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 08:12,padahal asli tarikan mesinnya jadi signifikan banget drpd pertamina ku kira motorku yg rada2 ternyata krn bahan bakar kalo pertamax mentok stabil gak ngoyo di 60 km sedangkan pake shell mulus banget 80 km asli enteng ,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 08:14,padahal asli tarikan mesinnya jadi signifikan banget drpd pertamina ku kira motorku yg rada2 ternyata krn bahan bakar kalo pertamax mentok stabil gak ngoyo di 60 km sedangkan pake shell mulus banget 80 km asli enteng ,Detail aspek tidak ditemukan (hasil_powerset.xlsx)
2026-01-06 08:26,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Detail aspek tidak ditemukan dalam database.,1010
2026-01-06 08:29,pertamina dikira pertamax ternyata pertalite folu net sink 2030 dikira hutan ternyata psi,Gagal membaca Excel: 'Kelas_ID',1010
2026-01-06 10:58,pertamax mahal,Gagal membaca Excel: 'Kelas_ID',1010
2026-01-06 11:02,"['korupsi', 'pertamina', 'pertamax', 'campur', 'pintu', 'masuk', 'prabowo', 'msh', 'kuat', 'bersih', 'negosiasi', 'dgn', 'koruptor', 'gerindra']",Gagal membaca Excel: 'Kelas_ID',1010
